RxNodeID,FreqInGHz,BandwidthMHz,N0,RSSI,BestRSRP,BestRSRPNode,BestSINR,RoIDbm,BestCouplingLoss,MaxTxAg,MaxRxAg,AssoTxAg,AssoRxAg,MaxTransmitBeamID
3112,0.7,1.728,-104.62456261857125,3.296844948651334e-06,-54.87939423911969,5,18.538725747253963,-1000,-93.25439423911969,10.597943552961684,-1000,10.597943552961684,0,0
4325,0.7,1.728,-104.62456261857125,2.7918070573438855e-08,-77.35896000295244,263,2.841784584568984,-1000,-115.73396000295244,13.031254486771672,-1000,13.031254486771672,0,0
4539,0.7,1.728,-104.62456261857125,5.689626808942986e-09,-82.6475399472637,8,13.30334684670062,-1000,-121.0225399472637,15.237433621843078,-1000,15.237433621843078,0,0
4621,0.7,1.728,-104.62456261857125,0.00022946302860347515,-36.402372357769764,136,26.59605222570967,-1000,-74.77737235776976,16.347747957535567,-1000,16.347747957535567,0,0
9580,0.7,1.728,-104.62456261857125,0.000953853611649679,-30.217428464268593,274,25.491865364114062,-1000,-68.5924284642686,14.727034832456722,-1000,14.727034832456722,0,0
3496,0.7,1.728,-104.62456261857125,3.580519849000209e-08,-74.78557672737648,6,11.094974949182614,-1000,-113.16057672737648,13.427281312308558,-1000,13.427281312308558,0,0
4451,0.7,1.728,-104.62456261857125,1.0984490276026773e-07,-69.99866051060765,8,10.082854560879966,-1000,-108.37366051060765,12.408517770401629,-1000,12.408517770401629,0,0
5128,0.7,1.728,-104.62456261857125,3.569759732986849e-07,-65.00168713727646,266,8.884156945007874,-1000,-103.37668713727646,11.640015864438706,-1000,9.121236360649952,0,0
9365,0.7,1.728,-104.62456261857125,9.710957776419876e-06,-53.871450256334,262,-1.3613005223954247,-1000,-92.246450256334,11.440337342438767,-1000,11.440337342438767,0,0
9540,0.7,1.728,-104.62456261857125,1.3858099316508123e-06,-58.78813599403925,18,13.153657409122175,-1000,-97.16313599403925,11.821819191010421,-1000,11.821819191010421,0,0
1178,0.7,1.728,-104.62456261857125,8.848495824980209e-06,-50.57527994794704,129,19.92383306814419,-1000,-88.95027994794704,14.419411076298578,-1000,14.419411076298578,0,0
1957,0.7,1.728,-104.62456261857125,1.1133560894024166e-08,-80.34610225890108,259,6.867360866842915,-1000,-118.72110225890108,15.874590742485516,-1000,15.874590742485516,0,0
5526,0.7,1.728,-104.62456261857125,0.00014560887987859282,-40.74779650413022,138,1.3686341457503488,-1000,-79.12279650413022,10.809901563608015,-1000,5.758927205685517,0,0
6491,0.7,1.728,-104.62456261857125,2.676368567938874e-07,-67.91735697527896,140,1.8253776561775652,-1000,-106.29235697527896,11.656468785180744,-1000,8.617381742907247,0,0
6569,0.7,1.728,-104.62456261857125,2.895489548390751e-07,-65.62892470267514,268,12.342284263576076,-1000,-104.00392470267514,13.056260887706475,-1000,13.056260887706475,0,0
8140,0.7,1.728,-104.62456261857125,5.676398264008044e-09,-84.79859520409771,143,1.4649010866944252,-1000,-123.17359520409771,12.063025785396794,-1000,12.063025785396794,0,0
